REF,Company Name,CompanyLocation_Country,Review Date,Bean Origin,ChocolateName,Cocoa_Percent,No_of_ingredients,Rating
516,Pierre Marcolini,Belgium,2010,Cuba,Baracoa,78,5,4.25
1494,Ambrosia,Canada,2015,Madagascar,Madagascar,66,2,4.25
1201,Habitual,Canada,2014,U.S.A.,"Hawai'i Island, Sharkey",66,3,4.25
1239,Palette de Bine,Canada,2014,Madagascar,Sambirano,78,2,4.25
117,Michel Cluizel,France,2007,Venezuela,Carenero Superior,66,4,4.25
147,Cacao Barry,France,2007,Mexico,Mexico,66,5,4.25
263,Debauve & Gallais (Michel Cluizel),France,2008,Venezuela,Venezuela,66,4,4.25
891,La Maison du Chocolat (Valrhona),France,2012,Dominican Republic,Loma Sotavento,66,4,4.25
963,Michel Cluizel,France,2012,Mexico,"Chiapas, Mokaya P.",66,4,4.25
370,Valrhona,France,2009,Ecuador,Alpaco,66,5,4.25
2142,Oialla by Bojessen (Malmo),Germany,2018,Brazil,Beniano,78,3,4.25
1768,Belyzium,Germany,2016,Belize,Belize south,78,3,4.25
1988,Pura Delizia,Italy,2017,Philippines,Philippines,66,4,4.25
749,C-Amaro,Italy,2011,Sao Tome,Sao Tome,78,2,4.25
272,Domori,Italy,2008,Blend,Blend No. 1,78,2,4.25
1454,Emily's,Japan,2015,Peru,Peru,78,3,4.25
1450,Emily's,Japan,2015,Venezuela,Patanemo,79,3,4.25
733,Original Beans (Felchlin),Switzerland,2011,Bolivia,Alto Beni,66,3,4.25
2198,Love Brown,Taiwan,2018,Nicaragua,Chuno,78,2,4.25
809,Hotel Chocolat (Coppeneur),U.K.,2012,Madagascar,Sambirano,66,4,4.25
2696,Dormouse,U.K.,2021,Belize,"Trio Reserve, 2020 h. batch D002",78,3,4.25
887,Middlebury,U.S.A.,2012,Blend,Houseblend,65,4,4.25
544,Mars,U.S.A.,2010,Ivory Coast,"Ivory Coast, prototype",65,4,4.25
785,French Broad,U.S.A.,2011,Dominican Republic,La Red,65,2,4.25
431,Bittersweet Origins,U.S.A.,2009,Madagascar,Sambirano,65,2,4.25
464,Scharffen Berger,U.S.A.,2010,Madagascar,Amina,65,5,4.25
1522,Chocovivo,U.S.A.,2015,Mexico,Tabasco,65,2,4.25
544,Mars,U.S.A.,2010,Nigeria,"Nigeria, prototype",65,4,4.25
370,Fresco,U.S.A.,2009,Venezuela,Carenero Superior,65,3,4.25
2454,Kah Kow - USA,U.S.A.,2019,Dominican Republic,"Los Bejucos, Collection 01, Rizek",65,4,4.25
552,Guittard,U.S.A.,2010,Trinidad,Trinidad,65,5,4.25
276,Guittard,U.S.A.,2008,Venezuela,Ocumare,65,5,4.25
1053,Guittard,U.S.A.,2013,Haiti,Haiti,65,5,4.25
855,Lillie Belle,U.S.A.,2012,Peru,Perfect Illusion,65,2,4.25
1840,Batch,U.S.A.,2016,Dominican Republic,"Dominican Republic, Batch 3",65,3,4.25
1053,Guittard,U.S.A.,2013,Nicaragua,Nicaragua,65,5,4.25
414,Bittersweet Origins,U.S.A.,2009,Dominican Republic,Puerto Plata,65,2,4.25
537,Mars,U.S.A.,2010,Costa Rica,"Matina 1-6, prototype",65,4,4.25
544,Mars,U.S.A.,2010,Ghana,"Ghana, prototype",65,4,4.25
1283,Finca,U.S.A.,2014,Puerto Rico,Puerto Rico,65,3,4.25
1363,Park 75,U.S.A.,2014,Blend,South America,65,3,4.25
963,Vanleer (Barry Callebaut),U.S.A.,2012,Ghana,Napa,65,5,4.25
558,Bittersweet Origins,U.S.A.,2010,Indonesia,Bali,65,2,4.25
2382,Hazel Hill,U.S.A.,2019,Peru,Maranon,65,3,4.25
647,Cacao Prieto,U.S.A.,2011,Dominican Republic,"Dominican Republic, rustic",65,2,4.25
1880,Batch,U.S.A.,2016,Ecuador,Ecuador,65,3,4.25
162,Theo,U.S.A.,2007,Madagascar,Madagascar,65,3,4.25
336,Scharffen Berger,U.S.A.,2009,Ghana,Asante,65,5,4.25
153,Vintage Plantations (Tulicorp),U.S.A.,2007,Ecuador,"Los Rios, Rancho Grande 2007",65,3,4.25
414,Escazu,U.S.A.,2009,Costa Rica,Guapiles,65,4,4.25
2482,Maverick,U.S.A.,2020,Madagascar,Akesson Estate,65,3,4.25
1395,Lonohana,U.S.A.,2014,U.S.A.,"O'ahu Island, Haleiwa E, 2014",65,4,4.25
1976,Johnny Iuzzini,U.S.A.,2017,Vietnam,"Tien Giang, Mekong Delta",65,4,4.25
2570,Escazu,U.S.A.,2021,Blend,Classic Dark,65,3,4.25
903,Theo,U.S.A.,2012,Congo,Congo w/ nibs,65,4,4.25
1053,Guittard,U.S.A.,2013,Jamaica,Jamaica,65,5,4.25
259,Guittard,U.S.A.,2008,Peru,Machu Pichu,65,5,4.25
939,StRita Supreme,U.S.A.,2012,Philippines,"Samar, East Visayas region",65,4,4.25
1053,Guittard,U.S.A.,2013,Ecuador,Ecuador,65,5,4.25
959,Scharffen Berger,U.S.A.,2012,Peru,San Juan de Cheni,78,4,4.25
2008,Johnny Iuzzini,U.S.A.,2017,Ecuador,"Costa Esmeralda, Batch 30",78,4,4.25
1634,Map Chocolate,U.S.A.,2015,Honduras,Le Chocolat Chaud,78,3,4.25
1157,Sublime Origins,U.S.A.,2013,Belize,Moho Valley,78,2,4.25
565,Bittersweet Origins,U.S.A.,2010,Venezuela,"Ocumare, prototype",78,2,4.25
1486,Bisou,U.S.A.,2015,Costa Rica,"San Andres, silk",78,4,4.25
1864,Dick Taylor,U.S.A.,2016,Vietnam,Tien Giang,78,2,4.25
1916,Confluence,U.S.A.,2016,Vietnam,"Tien Giang, 2015, batch 10-2-16",78,2,4.25
2630,Cleveland Chocolate Company,U.S.A.,2021,Haiti,Pisa,79,3,4.25
849,Marou,Vietnam,2012,Vietnam,Ben Tre,78,3,4.25
975,Cravve,Australia,2012,Fiji,"Namau Village, N. Taileva P., batch a2812",67,3,4.5
1622,"Smooth Chocolator, The",Australia,2015,Tanzania,Kokoa Kamili,67,3,4.5
1864,"Smooth Chocolator, The",Australia,2016,Australia,Australia,67,3,4.5
2170,Metiisto,Australia,2018,Solomon Islands,Tenaru,67,3,4.5
1666,"Smooth Chocolator, The",Australia,2015,Peru,"Maranon, batch 2",67,3,4.5
1836,Martin Mayer,Austria,2016,Bolivia,Alto Beni,76,3,4.5
230,Neuhaus (Callebaut),Belgium,2008,Trinidad,Manickchand Estate,67,5,4.5
2346,Millesime,Belgium,2019,Brazil,"Fazenda Leolinad, Bahia, 2017 H.",76,3,4.5
1776,Fossa,Canada,2016,Tanzania,Kokoa Kamili,67,2,4.5
1081,Soma,Canada,2013,Blend,"Equator, Peru, Dom. Rep",67,3,4.5
1339,Sirene,Canada,2014,Madagascar,"Somia Plantation, 2012",67,3,4.5
2680,Monarque,Canada,2021,Philippines,"Kablon, lot 07 (made for Etat de Choc)",76,3,4.5
688,Olivia,Canada,2011,Blend,Carribean-Raw,76,5,4.5
688,Olivia,Canada,2011,Blend,Carribean,76,5,4.5
1936,Soul,Canada,2017,Papua New Guinea,Papua New Guinea,77,2,4.5
1019,Soma,Canada,2013,Dominican Republic,"Rizek Cacao, batch DR 12",77,3,4.5
147,Republica del Cacao (aka Confecta),Ecuador,2007,Ecuador,El Oro,67,4,4.5
245,Caoni (Tulicorp),Ecuador,2008,Ecuador,Los Rios,77,4,4.5
237,Caoni (Tulicorp),Ecuador,2008,Ecuador,Esmeraldas,77,4,4.5
237,Caoni (Tulicorp),Ecuador,2008,Ecuador,Manabi,77,4,4.5
316,Bouga Cacao (Tulicorp),Ecuador,2009,Ecuador,"El Oro, Hacienda de Oro",77,2,4.5
135,Michel Cluizel,France,2007,Sao Tome,Vila Gracinda,67,4,4.5
166,Hachez,Germany,2007,Ecuador,Arriba,77,4,4.5
2012,Georgia Ramon,Germany,2017,St. Lucia,"Rabot Estate, Island Growers",77,3,4.5
717,Silvio Bessone,Italy,2011,Belize,Maya Belize,67,4,4.5
355,Guido Castagna,Italy,2009,Venezuela,Lacri Blend,76,4,4.5
2668,Ruket,Italy,2021,Indonesia,"Sumba, lot 02IN",77,2,4.5
1454,ChocoReko,Japan,2015,Venezuela,Patanemo,77,3,4.5
1680,Tablette (aka Vanillabeans),Japan,2015,Trinidad,Trinidad,77,4,4.5
284,Madecasse (Cinagra),Madagascar,2008,Madagascar,Madagascar,67,5,4.5
404,Vao Vao (Chocolaterie Robert),Madagascar,2009,Madagascar,Madagascar,76,4,4.5
2056,Auro,Philippines,2018,Philippines,Davao,77,4,4.5
2334,Pangea,Spain,2019,Philippines,South Cotabato,76,2,4.5
2302,Pangea,Spain,2019,Dominican Republic,Caribe,76,2,4.5
2298,Pangea,Spain,2019,Madagascar,Sambirano,76,2,4.5
2334,Pangea,Spain,2019,Bolivia,Alto Beni,76,2,4.5
1860,Pangea,Spain,2016,Fiji,Matasawalevu,76,2,4.5
537,Cacao Sampaka,Spain,2010,Venezuela,Venezuela,77,4,4.5
1331,Duffy's,U.K.,2014,Nicaragua,"Rico Rugoso, Xoco",76,4,4.5
1676,Dormouse,U.K.,2015,Madagascar,"Madagascar, Batch 8",77,3,4.5
753,Fruition,U.S.A.,2011,Costa Rica,Signature Blend,66,3,4.5
641,Cacao Prieto,U.S.A.,2011,Dominican Republic,Dominican Republic,66,2,4.5
2586,Poppy and Peep,U.S.A.,2021,Ghana,Ghana,66,3,4.5
2100,Johnny Iuzzini,U.S.A.,2018,India,Anamalai,66,4,4.5
1672,Glennmade,U.S.A.,2015,Brazil,Bahia,66,2,4.5
883,French Broad,U.S.A.,2012,Peru,"Palo Blanco, Chulucanas, b. 120725A",66,2,4.5
170,Dean and Deluca (Belcolade),U.S.A.,2007,Madagascar,Madagascar,66,4,4.5
1042,French Broad,U.S.A.,2013,Peru,"Palo Blanco, Chulucanas",66,2,4.5
1359,Fruition,U.S.A.,2014,Peru,Maranon,76,3,4.5
1482,Bisou,U.S.A.,2015,Nicaragua,"Nicaragua, American style",76,2,4.5
1630,Condor,U.S.A.,2015,Ecuador,Camino Verde,76,2,4.5
745,Fresco,U.S.A.,2011,Venezuela,"Chuao, #218, MR, MC, batch 11-020",76,3,4.5
1193,Dick Taylor,U.S.A.,2013,Ecuador,Camino Verde,76,2,4.5
1371,Castronovo,U.S.A.,2014,Colombia,Arauca,76,3,4.5
2454,5150,U.S.A.,2019,Madagascar,Bejofo,76,30,4.5
2458,5150,U.S.A.,2019,Dominican Republic,"Zorzal, batch 1",76,3,4.5
2080,Chocolibrium,U.S.A.,2018,Guatemala,"Monte Grande Plantation, Coatepeque",76,2,4.5
1450,Mast Brothers,U.S.A.,2015,Guatemala,Guatemala,76,2,4.5
829,Pomm (aka Dead Dog),U.S.A.,2012,Dominican Republic,"La Red, 2011",76,3,4.5
1486,Bisou,U.S.A.,2015,Costa Rica,"San Andres, American style",76,2,4.5
1912,Wm,U.S.A.,2016,Bolivia,"Wild Beniano, 2016, batch 128, Heirloom",76,3,4.5
2454,5150,U.S.A.,2019,Tanzania,Kokoa Kamili,76,3,4.5
701,Mast Brothers,U.S.A.,2011,Venezuela,"Chuao, Med. Roast",76,2,4.5
2582,Poppy and Peep,U.S.A.,2021,Guatemala,Guatemala,76,3,4.5
2358,Terroir,U.S.A.,2019,Belize,Maya Mountain,77,3,4.5
1255,Indi,U.S.A.,2014,Honduras,Honduras,77,3,4.5
1458,Violet Sky,U.S.A.,2015,Peru,Peru,77,2,4.5
1502,Violet Sky,U.S.A.,2015,Guatemala,Cahabon,77,2,4.5
607,Mindo,U.S.A.,2010,Ecuador,Ecuador,77,3,4.5
1458,Violet Sky,U.S.A.,2015,Venezuela,Cuyagua,77,2,4.5
1323,Terroir,U.S.A.,2014,Ecuador,"Ecuador, batch 6-5-15",77,2,4.5
1458,Violet Sky,U.S.A.,2015,Madagascar,Sambirano Valley,77,2,4.5
2634,sweet beans,U.S.A.,2021,Uganda,Uganda,77,3,4.5
1458,Violet Sky,U.S.A.,2015,Belize,Moho River Valley,77,2,4.5
1924,Goodnow Farms,U.S.A.,2016,Nicaragua,"El Carmen, batch 1003",77,3,4.5
2370,Terroir,U.S.A.,2019,Bolivia,Alto Beni,77,3,4.5
486,Chuao Chocolatier (Pralus),U.S.A.,2010,Venezuela,Chuao,77,3,4.5
166,DeVries,U.S.A.,2007,Costa Rica,Costa Rica,77,2,4.5
1700,Harper Macaw,U.S.A.,2015,Brazil,"Tome Acu E., Amazon Rainforest",77,3,4.5
2606,Cocoa Forge,U.S.A.,2021,Madagascar,"Sambirano, batch 236MAsaD77",77,2,4.5
927,Tocoti,U.S.A.,2012,Bolivia,"Wild Bolivian, Jungle Love",77,3,4.5
2550,Fruition,U.S.A.,2021,Dominican Republic,"Los Bejucos, batch 1",77,2,4.5
1466,Shark Mountain,U.S.A.,2015,Venezuela,Cuyagua,77,2,4.5
1924,Goodnow Farms,U.S.A.,2016,Mexico,"Almendra Blanca, batch 1004",77,3,4.5
166,DeVries,U.S.A.,2007,Dominican Republic,Dominican Republic,77,2,4.5
331,Askinosie,U.S.A.,2009,Philippines,Davao,77,2,4.5
1748,Heirloom Cacao Preservation (Mindo),U.S.A.,2016,Ecuador,"Pinchincha, Mindo, Coop Nueva Esper., 2015",77,3,4.5
1924,Goodnow Farms,U.S.A.,2016,Guatemala,Asochivite,77,3,4.5
1688,Cacao de Origen,Venezuela,2015,Venezuela,Chuao,77,2,4.5
845,Marou,Vietnam,2012,Vietnam,Ba Ria,76,20,4.5
1530,Chocolate Makers,Amsterdam,2015,Congo,"Congo, Gorilla bar",68,3,4.75
1235,Bright,Australia,2014,Trinidad,Gran Couva,68,3,4.75
697,Zokoko,Australia,2011,Bolivia,Alto Beni,68,4,4.75
1177,Matale,Australia,2013,Madagascar,"Somia, 2013",68,3,4.75
883,Zotter,Austria,2012,Congo,"Kongo, Highlands",68,4,4.75
2230,Zoto (Chocolatoa),Belgium,2018,DR Congo,"Kilimamwenza, Ituri Province",68,3,4.75
2470,Sweetness,Canada,2020,Peru,Ucayali,68,3,4.75
666,Christopher Morel (Felchlin),Canada,2011,Peru,"Maranon Canyon, Fortunato No. 4",68,5,4.75
1498,Ambrosia,Canada,2015,Peru,Peru,68,2,4.75
2122,Friis Holm,Denmark,2018,Nicaragua,"O'Payo, Wasalala Co-op",68,3,4.75
2238,Chapon,France,2018,Venezuela,"San Esteban (Chloe, Maria, Patrice)",68,3,4.75
395,Valrhona,France,2009,Ghana,Nyangbo,68,5,4.75
1438,Laia aka Chat-Noir,France,2014,Blend,Trinidad-Tobago,68,4,4.75
346,La Maison du Chocolat (Valrhona),France,2009,Ghana,Akosombo,68,4,4.75
741,La Maison du Chocolat (Valrhona),France,2011,Grenada,Grenada,68,4,4.75
1876,Edelmond,Germany,2016,Venezuela,Porcelana,68,2,4.75
741,Silvio Bessone,Italy,2011,Colombia,"Porcelana, Colombia, Amazonas",68,4,4.75
1061,Robert (aka Chocolaterie Robert),Madagascar,2013,Madagascar,Madagascar w/ nibs,68,4,4.75
404,Vao Vao (Chocolaterie Robert),Madagascar,2009,Madagascar,Madagascar w/ nibs,68,5,4.75
2290,Bonaterra,Malaysia,2019,Malaysia,"Keningau, Borneo Island",68,2,4.75
859,Stella (aka Bernrain),Switzerland,2012,Brazil,Bahia,68,4,4.75
1438,Original Beans (Felchlin),Switzerland,2014,Papua New Guinea,Papua Kerafat,68,3,4.75
341,Original Beans (Felchlin),Switzerland,2009,Bolivia,Alto Beni,68,3,4.75
1840,Solkiki,U.K.,2016,Peru,"Maranon, Fortunato No. 4",68,2,4.75
2502,Kah Kow,U.S.A.,2020,Dominican Republic,"West Indian, Rizek Historical S.",67,4,4.75
1976,Johnny Iuzzini,U.S.A.,2017,Jamaica,Mount Pleasant,67,4,4.75
2514,Chokola,U.S.A.,2020,Madagascar,Bejofo,67,2,4.75
1034,Patric,U.S.A.,2013,Peru,"Piura, Choc. Garage Exclusive",67,3,4.75
439,Patric,U.S.A.,2009,Madagascar,Madagascar,67,3,4.75
2566,Taylor Made,U.S.A.,2021,Haiti,"Haiti, batch 2020SEP",67,3,4.75
1239,Heirloom Cacao Preservation (Guittard),U.S.A.,2014,Bolivia,Alto Beni,67,3,4.75
971,Tejas,U.S.A.,2012,Bolivia,San Jose,67,3,4.75
1157,Sublime Origins,U.S.A.,2013,Madagascar,Sambirano,67,2,4.75
1243,Heirloom Cacao Preservation (Guittard),U.S.A.,2014,Ecuador,"Los Rios, Hacienda Limon, Orecao, 2014",67,3,4.75
693,Snake & Butterfly,U.S.A.,2011,Ghana,Ghana,67,3,4.75
607,Moho,U.S.A.,2010,Belize,"Umoho R., Toledo District, San Felipe",67,3,4.75
457,Olive and Sinclair,U.S.A.,2009,Blend,"Dark 67, Ghana, Domin. Rep",67,3,4.75
2382,Mindo,U.S.A.,2019,Ecuador,"Ecuador, lot# 181220",67,3,4.75
1696,Harper Macaw,U.S.A.,2015,Brazil,Brazil Blend,67,3,4.75
2506,Lumineux,U.S.A.,2020,Ivory Coast,"Cote d'Ivoire, batch 83",67,3,4.75
1243,Heirloom Cacao Preservation (Guittard),U.S.A.,2014,U.S.A.,"O'ahu Island, Maunawili, Agri Research C., 2014",67,3,4.75
1323,Terroir,U.S.A.,2014,Madagascar,"Madagascar, batch 6-5-15",67,2,4.75
1243,Heirloom Cacao Preservation (Guittard),U.S.A.,2014,Bolivia,"Wild Beni, Lower Rio Beni, Tranquilidad, 2014",67,3,4.75
927,L.A. Burdick (Felchlin),U.S.A.,2012,Venezuela,Chuao,68,5,4.75
2506,Lumineux,U.S.A.,2020,Uganda,"Semuliki Forest, Latitude Trading Co, batch 100",68,3,4.75
781,Scharffen Berger,U.S.A.,2011,Papua New Guinea,Markham Valley,68,5,4.75
2542,5150,U.S.A.,2021,Fiji,"Matasawalevu, batch 1",68,3,4.75
1271,Taza,U.S.A.,2014,Belize,Belize,68,3,4.75
2642,Fresco,U.S.A.,2021,Ghana,ABOCFA Coop,68,3,4.75
1462,Brasstown aka It's Chocolate,U.S.A.,2015,Dominican Republic,"Conacado, batch 001515",68,3,4.75
1744,Heirloom Cacao Preservation (Zokoko),U.S.A.,2016,Bolivia,Alto Beni,68,3,4.75
1780,Askinosie,U.S.A.,2016,Tanzania,Mababa,68,3,4.75
2554,Fruition,U.S.A.,2021,Dominican Republic,"Hispaniola, Dom. Rep. blend, batch 50",68,4,4.75
1896,Mutari,U.S.A.,2016,Tanzania,Kokoa Kamili,68,2,4.75
2170,Moka Origins,U.S.A.,2018,Cameroon,"Kombone Village, 2018 Harvest",68,2,4.75
947,Lillie Belle,U.S.A.,2012,Bolivia,Wild Thing,68,2,4.75
903,Lillie Belle,U.S.A.,2012,Bolivia,"Bolivia, Wild Thing",68,2,4.75
2406,Wm,U.S.A.,2019,Belize,"Maya Mountain, 2017, batch 255",68,3,4.75
1534,Arete,U.S.A.,2015,Peru,Nacional,68,2,4.75
502,Snake & Butterfly,U.S.A.,2010,Ecuador,Ecuador,68,3,4.75
2642,Fresco,U.S.A.,2021,Ghana,ABOCFA Coop,68,3,4.75
1181,Bronx Grrl Chocolate,U.S.A.,2013,Dominican Republic,Dominican Republic,68,3,4.75
2574,Dancing Lion,U.S.A.,2021,Puerto Rico,"Puerto Rico, collab w/ USDA (Juan Echevarria)",68,4,4.75
1606,Map Chocolate,U.S.A.,2015,Peru,"Tumbes, Dear Mr. Finley, 2014",68,3,4.75
502,Snake & Butterfly,U.S.A.,2010,Madagascar,Madagascar,68,3,4.75
647,Chocola'te,U.S.A.,2011,Venezuela,Venezuela,68,2,4.75
2542,5150,U.S.A.,2021,India,Anamalai,68,3,4.75
2606,Cocoa Forge,U.S.A.,2021,Peru,"Maranon, batch 244PEmaD",68,3,4.75
2092,White Label aka Mutari,U.S.A.,2018,Tanzania,Kokoa Kamili,68,3,4.75
233,Bittersweet Origins,U.S.A.,2008,Dominican Republic,Puerto Plata,68,2,4.75
387,TCHO,U.S.A.,2009,Blend,TCHOPro 68,68,5,4.75
2498,Kah Kow,U.S.A.,2020,Dominican Republic,"Tireo, Rizek Historical Selection, single estate",68,4,4.75
903,Lillie Belle,U.S.A.,2012,Peru,La Selva,68,2,4.75
451,L.A. Burdick (Felchlin),U.S.A.,2009,Bolivia,Bolivian,68,5,4.75
1022,twenty-four blackbirds,U.S.A.,2013,Dominican Republic,"Dominican Republic, batch 85",68,2,4.75
2644,Fresco,U.S.A.,2021,Venezuela,"Chuao Village, BR-SC, batch 21-437",68,3,4.75
464,Scharffen Berger,U.S.A.,2010,Grenada,Camahogne,68,5,4.75
336,Scharffen Berger,U.S.A.,2009,Brazil,Tome Acu,68,5,4.75
2684,Conjure,U.S.A.,2021,Peru,Ucayali,68,3,4.75
1900,Mutari,U.S.A.,2016,Madagascar,Ambanja,68,2,4.75
1295,French Broad,U.S.A.,2014,Nicaragua,Matagalpa,68,2,4.75
2426,La Cascade du Chocolat,U.S.A.,2019,Fiji,"Fiji, batch 51019",68,3,4.75
2008,Johnny Iuzzini,U.S.A.,2017,Madagascar,"Sambirano Valley, Batch 7",68,5,4.75
1650,Marou,Vietnam,2015,Vietnam,Ben Tre,68,2,4.75
1688,Metropolitan,Amsterdam,2015,Blend,South America,70,3,5
2282,Krak,Amsterdam,2019,Papua New Guinea,Gazelle,70,2,5
1968,Krak,Amsterdam,2017,Belize,Belize,70,2,5
2044,Krak,Amsterdam,2018,Mexico,"Xoconusco, triple turned",70,2,5
2016,Krak,Amsterdam,2017,Mexico,Xoconusco,70,2,5
2068,Krak,Amsterdam,2018,Philippines,Kablon Farm,70,2,5
2064,Krak,Amsterdam,2018,Madagascar,Mava Sa Ferme D'ottange,70,2,5
1968,Krak,Amsterdam,2017,Vietnam,Vietnam,70,2,5
1530,Chocolate Makers,Amsterdam,2015,Dominican Republic,Tres Hombres,75,3,5
579,Compania de Chocolate (Salgado),Argentina,2010,Venezuela,Sur del Lago,70,5,5
288,Salgado,Argentina,2008,Brazil,Bahia,70,4,5
292,Salgado,Argentina,2008,Ecuador,Rio Arriba,70,4,5
292,Compania de Chocolate (Salgado),Argentina,2008,Venezuela,Ocumare,70,5,5
288,Salgado,Argentina,2008,Venezuela,Carenero Superior,70,6,5
288,Salgado,Argentina,2008,Ecuador,Esmeraldas,70,4,5
292,Compania de Chocolate (Salgado),Argentina,2008,Bolivia,Moxos,72,3,5
1756,"Smooth Chocolator, The",Australia,2016,Belize,"Maya Mtn, Moho R., Toledo D.",70,3,5
999,Bahen & Co.,Australia,2012,Blend,Houseblend,70,2,5
999,Bahen & Co.,Australia,2012,Brazil,Bahia,70,2,5
1940,"Smooth Chocolator, The",Australia,2017,Dominican Republic,"Oko Caribe, DOR005",70,3,5
1622,"Smooth Chocolator, The",Australia,2015,Trinidad,San Juan Estate,70,3,5
1952,"Smooth Chocolator, The",Australia,2017,Haiti,"Pisa, batch HA102",70,3,5
1740,"Smooth Chocolator, The",Australia,2016,Venezuela,"Guasare, La Sierra de Perija, batch gua001",70,3,5
1864,"Smooth Chocolator, The",Australia,2016,Vietnam,Tien Giang,70,3,5
1622,"Smooth Chocolator, The",Australia,2015,Madagascar,Akesson Estate,70,3,5
1792,Spencer,Australia,2016,Ecuador,"Ecuador, lot E432314L",70,3,5
1908,"Smooth Chocolator, The",Australia,2016,Guatemala,"Chimelb, Lanquin, Alta Verapaz, b-GUA001",70,3,5
1740,"Smooth Chocolator, The",Australia,2016,Ecuador,"Porcelana, Sorotaima,Machiques,batch pcl001",70,3,5
1666,"Smooth Chocolator, The",Australia,2015,Venezuela,"Chuao, batch 3",70,6,5
1181,Matale,Australia,2013,Blend,"PNG, Vanuatu, Mad; 2013 h.",70,3,5
2434,Atypic,Australia,2019,Solomon Islands,Solomon Islands,70,4,5
1792,Spencer,Australia,2016,Madagascar,"Madagascar, lot M0403R",70,3,5
1654,Daintree,Australia,2015,Australia,Goodman Estate,70,3,5
1474,Bahen & Co.,Australia,2015,Papua New Guinea,Papua New Guinea,70,2,5
1391,Monsieur Truffe,Australia,2014,Papua New Guinea,Papaua New Guinea,70,5,5
1824,Zart Pralinen,Australia,2016,Tanzania,Kokoa Kamili,70,3,5
1231,Bright,Australia,2014,Dominican Republic,Marabel Farms,70,3,5
1792,Spencer,Australia,2016,Dominican Republic,"Dominican Republic, lot D82R",70,3,5
1283,Cravve,Australia,2014,Papua New Guinea,"New Ireland, batch 1702",70,3,5
995,Bahen & Co.,Australia,2012,Madagascar,Sambirano,70,2,5
785,Daintree,Australia,2011,Australia,"Daintree Estates, N. Queensland",70,5,5
701,Haigh,Australia,2011,Blend,South America and Africa,70,5,5
1434,Spencer,Australia,2014,Vanuatu,Malekula Island,72,3,5
1622,"Smooth Chocolator, The",Australia,2015,Ecuador,Camino Verde,72,3,5
1231,Bright,Australia,2014,Ecuador,"Camino Verde, Balao, Guayas",72,3,5
1626,"Smooth Chocolator, The",Australia,2015,Bolivia,Bolivia,72,3,5
701,Zokoko,Australia,2011,Bolivia,"Tranquilidad, Baures",72,4,5
1574,Palette de Bine,Australia,2015,Tanzania,Kokoa Kamili,72,2,5
2166,Metiisto,Australia,2018,Solomon Islands,"Patovaki, Paspaskato Is",72,3,5
1177,Matale,Australia,2013,Vanuatu,"Malekula P., 2013",72,3,5
1231,Bright,Australia,2014,Madagascar,Somia Plantation,72,3,5
1856,Sirene,Australia,2016,Tanzania,Kokoa Kamili,73,2,5
1177,Matale,Australia,2013,Papua New Guinea,"Kulili P., 2013",74,3,5
975,Cravve,Australia,2012,Papua New Guinea,"Djual Island, batch 1712",75,6,5
971,Cravve,Australia,2012,Tanzania,"Tanzania, batch a1",75,3,5
875,Zotter,Austria,2012,Peru,"Satipo Pangoa region, 20hr conche",70,4,5
647,Zotter,Austria,2011,Peru,Peru,70,4,5
2170,Zotter,Austria,2018,Congo,Mountains of the Moon,70,3,5
1820,Zart Pralinen,Austria,2016,Madagascar,"Millot P., Ambanja",70,3,5
1824,Zart Pralinen,Austria,2016,Ecuador,UNOCACE,70,3,5
879,Zotter,Austria,2012,Dominican Republic,Santo Domingo,70,4,5
875,Zotter,Austria,2012,Peru,"Satipo Pangoa region, 16hr conche",70,4,5
2170,Zotter,Austria,2018,Belize,Maya Mtn,72,3,5
801,Zotter,Austria,2012,Panama,"Bocas del Toro, Cocabo Co-op",72,4,5
1836,Martin Mayer,Austria,2016,Colombia,Tumaco,74,3,5
879,Zotter,Austria,2012,Ecuador,El Oro,75,4,5
2036,Zotter,Austria,2018,Blend,"Dry Aged, 30 yr Anniversary bar",75,3,5
879,Zotter,Austria,2012,Papua New Guinea,Huiwani Coop,75,4,5
1996,Zotter,Austria,2017,Colombia,"APROCAFA, Acandi",75,3,5
2112,Mike & Becky,Belgium,2018,India,Idukki,70,3,5
2114,Mike & Becky,Belgium,2018,Peru,"Maranon, 2017 harvest",70,3,5
1538,Frederic Blondeel,Belgium,2015,Costa Rica,Costa Rica,70,4,5
2112,Mike & Becky,Belgium,2018,Belize,"San Jose, Toledo, 2017 harvest",70,3,5
531,Neuhaus (Callebaut),Belgium,2010,Papua New Guinea,Papua New Guinea,70,5,5
2048,Zoto (Chocolatoa),Belgium,2018,Nicaragua,"El Castillero, batch ca1705, 3 turns",70,3,5
1658,Pierre Marcolini,Belgium,2015,Cameroon,"Haut Penja, w/ nibs",70,5,5
2342,Darcis,Belgium,2019,Vietnam,Mekong Delta,70,4,5
2294,Chocolatoa,Belgium,2019,India,"Idukki Hills, GoGround, batch 0089",70,3,5
2342,Pierre Marcolini,Belgium,2019,Cameroon,"Haut Penja, Transporte",70,4,5
111,Pierre Marcolini,Belgium,2007,Blend,"Cabosse, Venezuela, Java",70,5,5
2266,Legast,Belgium,2019,Peru,Piura,70,3,5
2346,Millesime,Belgium,2019,Ecuador,"Los Rios, Arriba, 2017 Harvest",70,3,5
